species_id,common_name_1,common_name_2,common_name_3,common_name_4,common_name_5
Ixobrychus involucris,Stripe-backed Bittern,,,,
Ixobrychus minutus,Common Little Bittern,Little Bittern,,,
Ixobrychus novaezelandiae,New Zealand Little Bittern,New Zealand Bittern,,,
Ixobrychus sinensis,Yellow Bittern,,,,
Ixobrychus sturmii,Dwarf Bittern,,,,
Nyctanassa carcinocatactes,Bermuda Night-heron,,,,
Nyctanassa violacea,Yellow-crowned Night-heron,,,,
Nycticorax caledonicus,Rufous Night-heron,Nankeen Night-heron,,,
Nycticorax duboisi,Reunion Night-heron,,,,
Nycticorax mauritianus,Mauritius Night-heron,,,,
Nycticorax megacephalus,Rodrigues Night-heron,,,,
Nycticorax nycticorax,Black-crowned Night-heron,Night-heron,,,
Pilherodius pileatus,Capped Heron,,,,
Syrigma sibilatrix,Whistling Heron,,,,
Tigriornis leucolopha,White-crested Tiger-heron,White-crested Bittern,,,
Tigrisoma fasciatum,Fasciated Tiger-heron,,,,
Tigrisoma lineatum,Rufescent Tiger-heron,,,,
Tigrisoma mexicanum,Bare-throated Tiger-heron,,,,
Zebrilus undulatus,Zigzag Heron,,,,
Zonerodius heliosylus,Forest Bittern,,,,
Balaeniceps rex,Shoebill,Whale-headed Stork,,,
Burhinus bistriatus,Double-striped Thick-knee,,,,
Burhinus capensis,Spotted Thick-knee,Spotted Dikkop,,,
Burhinus grallarius,Bush Thick-knee,Bush Stone-curlew,,,
Burhinus indicus,Indian Thick-knee,,,,
Burhinus oedicnemus,Eurasian Thick-knee,Stone Curlew,,,
Burhinus senegalensis,Senegal Thick-knee,,,,
Burhinus superciliaris,Peruvian Thick-knee,,,,
Burhinus vermiculatus,Water Thick-knee,Water Dikkop,,,
Esacus magnirostris,Beach Thick-knee,Beach Stone-curlew,,,
Esacus recurvirostris,Great Thick-knee,Great Stone-curlew,,,
Anarhynchus frontalis,Wrybill,,,,
Charadrius alexandrinus,Kentish Plover,Snowy Plover,,,
Charadrius alticola,Puna Plover,,,,
Charadrius aquilonius,Northern Red-breasted Plover,,,,
Charadrius asiaticus,Caspian Plover,,,,
Charadrius bicinctus,Double-banded Plover,Banded Dotterel,,,
Charadrius bifrontatus,Madagascar Three-banded Plover,,,,
Charadrius collaris,Collared Plover,,,,
Charadrius dealbatus,White-faced Plover,,,,
Charadrius dubius,Little Ringed Plover,,,,
Charadrius falklandicus,Two-banded Plover,,,,
Charadrius forbesi,Forbes's Plover,,,,
Charadrius hiaticula,Common Ringed Plover,Ringed Plover,,,
Charadrius javanicus,Javan Plover,,,,
Charadrius leschenaultii,Greater Sandplover,Large Sand Dotterel,,,
Charadrius marginatus,White-fronted Plover,,,,
Charadrius melodus,Piping Plover,,,,
Charadrius modestus,Rufous-chested Plover,Rufous-chested Dotterel,,,
Charadrius mongolus,Lesser Sandplover,Mongolian Dotterel,Mongolian Plover,,
Charadrius montanus,Mountain Plover,,,,
Charadrius nivosus,Snowy Plover,,,,
Charadrius obscurus,Southern Red-breasted Plover,,,,
Charadrius pallidus,Chestnut-banded Plover,,,,
Charadrius pecuarius,Kittlitz's Plover,,,,
Charadrius peronii,Malay Plover,,,,
Charadrius placidus,Long-billed Plover,,,,
Charadrius ruficapillus,Red-capped Plover,Red-capped Dotterel,,,
Charadrius sanctaehelenae,St Helena Plover,Wirebird,,,
Charadrius semipalmatus,Semipalmated Plover,,,,
Charadrius thoracicus,Black-banded Plover,,,,
Charadrius tricollaris,African Three-banded Plover,Three-banded Plover,,,
Charadrius veredus,Oriental Plover,Oriental Dotterel,,,
Charadrius vociferus,Killdeer,,,,
Charadrius wilsonia,Wilson's Plover,,,,
Elseyornis melanops,Black-fronted Dotterel,,,,
Erythrogonys cinctus,Red-kneed Dotterel,,,,
Eudromias morinellus,Eurasian Dotterel,Dotterel,,,
Hoploxypterus cayanus,Pied Lapwing,,,,
Oreopholus ruficollis,Tawny-throated Dotterel,,,,
Peltohyas australis,Inland Dotterel,Inland Plover,,,
Phegornis mitchellii,Diademed Plover,Diademed Sandpiper-Plover,,,
Pluvialis apricaria,Eurasian Golden Plover,European Golden Plover,Golden Plover,,
Pluvialis dominica,American Golden Plover,Lesser Golden Plover,,,
Pluvialis fulva,Pacific Golden Plover,,,,
Pluvialis squatarola,Grey Plover,Black-bellied Plover,,,
Thinornis cucullatus,Hooded Plover,Hooded Dotterel,,,
Thinornis novaeseelandiae,Shore Plover,Shore Dotterel,,,
Vanellus albiceps,White-headed Lapwing,White-crowned Lapwing,White-crowned Plover,,
Vanellus armatus,Blacksmith Lapwing,Blacksmith Plover,,,
Vanellus chilensis,Southern Lapwing,,,,
Vanellus cinereus,Grey-headed Lapwing,,,,
Vanellus coronatus,Crowned Lapwing,Crowned Plover,,,
Vanellus crassirostris,Long-toed Lapwing,Long-toed Plover,,,
Vanellus duvaucelii,River Lapwing,,,,
Vanellus gregarius,Sociable Lapwing,Sociable Plover,,,
Vanellus indicus,Red-wattled Lapwing,Red-wattled Plover,,,
Vanellus leucurus,White-tailed Lapwing,White-tailed Plover,,,
Vanellus lugubris,Senegal Lapwing,Lesser Black-winged Plover,,,
Vanellus macropterus,Javan Lapwing,Javanese Lapwing,Sunda Plover,,
Vanellus malarbaricus,Yellow-wattled Lapwing,,,,
Vanellus melanocephalus,Spot-breasted Lapwing,Spot-breasted Plover,,,
Vanellus melanopterus,Black-winged Lapwing,Black-winged Plover,,,
Vanellus miles,Masked Lapwing,Masked Plover,,,
Vanellus novaehollandiae,Black-shouldered Lapwing,,,,
Vanellus resplendens,Andean Lapwing,,,,
Vanellus senegallus,Wattled Lapwing,African Wattled Lapwing,Senegal Wattled Plover,,
Vanellus spinosus,Spur-winged Lapwing,Spur-winged Plover,,,
Vanellus superciliosus,Brown-chested Lapwing,Brown-chested Wattled Plover,,,
Vanellus tectus,Black-headed Lapwing,Blackhead Plover,Black-headed Plover,,
Vanellus tricolor,Banded Lapwing,,,,
Vanellus vanellus,Northern Lapwing,Lapwing,,,
Chionis albus,Snowy Sheathbill,American Sheathbill,,,
Chionis minor,Black-faced Sheathbill,,,,
Diomedea amsterdamensis,Amsterdam Albatross,Amsterdam Island Albatross,,,
Diomedea antipodensis,Antipodean Albatross,,,,
Diomedea dabbenena,Tristan Albatross,,,,
Diomedea epomophora,Southern Royal Albatross,Royal Albatross,,,
Diomedea exulans,Wandering Albatross,,,,
Diomedea sanfordi,Northern Royal Albatross,,,,
Phoebastria albatrus,Short-tailed Albatross,,,,
Phoebastria immutabilis,Laysan Albatross,,,,
Phoebastria irrorata,Waved Albatross,,,,
Phoebastria nigripes,Black-footed Albatross,,,,
Phoebetria fusca,Sooty Albatross,Dark-mantled Sooty Albatross,,,
Phoebetria palpebrata,Light-mantled Albatross,Light-mantled Sooty Albatross,,,
Thalassarche bulleri,Buller's Albatross,Buller's Mollymawk,,,
Thalassarche carteri,Indian Yellow-nosed Albatross,,,,
Thalassarche cauta,Shy Albatross,,,,
Thalassarche chlororhynchos,Atlantic Yellow-nosed Albatross,Yellow-nosed Albatross,,,
Thalassarche chrysostoma,Grey-headed Albatross,Grey-headed Mollymawk,,,
Thalassarche eremita,Chatham Albatross,,,,
Thalassarche impavida,Campbell Albatross,,,,
Thalassarche melanophris,Black-browed Albatross,,,,
Thalassarche salvini,Salvin's Albatross,,,,
Thalassarche steadi,White-capped Albatross,,,,
Dromas ardeola,Crab-plover ,,,,
Fregata andrewsi,Christmas Frigatebird,Andrews' Frigatebird,,,
Fregata aquila,Ascension Frigatebird,Ascension Is. Frigatebird,,,
Fregata ariel,Lesser Frigatebird,,,,
Fregata magnificens,Magnificent Frigatebird,,,,
Fregata minor,Great Frigatebird,,,,
Cursorius coromandelicus,Indian Courser,,,,
Cursorius cursor,Cream-coloured Courser,,,,
Cursorius rufus,Burchell's Courser,,,,
Cursorius somalensis,Somali Courser,,,,
Cursorius temminckii,Temminck's Courser,,,,
Glareola cinerea,Grey Pratincole,,,,
Glareola lactea,Little Pratincole,,,,
Glareola maldivarum,Oriental Pratincole,,,,
Glareola nordmanni,Black-winged Pratincole,,,,
Glareola nuchalis,Rock Pratincole,,,,
Glareola ocularis,Madagascar Pratincole,,,,
Glareola pratincola,Collared Pratincole,,,,
Rhinoptilus bitorquatus,Jerdon's Courser,,,,
Rhinoptilus chalcopterus,Bronze-winged Courser,,,,
Rhinoptilus cinctus,Three-banded Courser,,,,
Smutsornis africanus,Double-banded Courser,,,,
Stiltia isabella,Australian Pratincole,,,,
Haematopus ater,Blackish Oystercatcher,,,,
Haematopus chathamensis,Chatham Oystercatcher,Chatham Islands Oystercatcher,Chatham Island Pied Oystercatcher,,
Haematopus fuliginosus,Sooty Oystercatcher,,,,
Haematopus leucopodus,Magellanic Oystercatcher,,,,
Haematopus longirostris,Pied Oystercatcher,Australian Pied Oystercatcher,,,
Haematopus meadewaldoi,Canarian Oystercatcher,Canarian Black Oystercatcher,,,
Haematopus moquini,African Oystercatcher,African Black Oystercatcher,,,
Haematopus ostralegus,Eurasian Oystercatcher,Pied Oystercatcher,,,
Haematopus palliatus,American Oystercatcher,,,,
Haematopus unicolor,Variable Oystercatcher,,,,
Hydrobates castro,Band-rumped Storm-petrel,Madeiran Storm-petrel,,,
Hydrobates furcatus,Fork-tailed Storm-petrel,,,,
Hydrobates homochroa,Ashy Storm-petrel,,,,
Hydrobates hornbyi,Ringed Storm-petrel,Hornby's Storm-petrel,,,
Hydrobates leucorhous,Leach's Storm-petrel,Leach's Petrel,,,
Hydrobates macrodactylus,Guadalupe Storm-petrel,,,,
Hydrobates markhami,Markham's Storm-petrel,,,,
Hydrobates matsudairae,Matsudaira's Storm-petrel,,,,
Hydrobates melania,Black Storm-petrel,,,,
Hydrobates microsoma,Least Storm-petrel,,,,
Hydrobates monorhis,Swinhoe's Storm-petrel,,,,
Hydrobates monteiroi,Monteiro's Storm-petrel ,,,,
Hydrobates pelagicus,European Storm-petrel,British Storm-petrel,,,
Hydrobates tethys,Wedge-rumped Storm-petrel,,,,
Hydrobates tristrami,Tristram's Storm-petrel,,,,
Ibidorhyncha struthersii,Ibisbill,,,,
Actophilornis africanus,African Jacana,,,,
Actophilornis albinucha,Madagascar Jacana,,,,
Hydrophasianus chirurgus,Pheasant-tailed Jacana,,,,
Irediparra gallinacea,Comb-crested Jacana,,,,
Jacana jacana,Wattled Jacana,,,,
Jacana spinosa,Northern Jacana,,,,
Metopidius indicus,Bronze-winged Jacana,,,,
Microparra capensis,Lesser Jacana,,,,
Anous minutus,Black Noddy,,,,
Anous stolidus,Brown Noddy,Common Noddy,,,
Anous tenuirostris,Lesser Noddy,Sooty Noddy,,,
Chlidonias albostriatus,Black-fronted Tern,,,,
Chlidonias hybrida,Whiskered Tern,,,,
Chlidonias leucopterus,White-winged Tern,White-winged Black Tern,,,
Chlidonias niger,Black Tern,,,,
Creagrus furcatus,Swallow-tailed Gull,,,,
Gelochelidon macrotarsa,Australian Gull-billed Tern,,,,
Gelochelidon nilotica,Common Gull-billed Tern,,,,
Gygis alba,Common White Tern,Fairy Tern,Angel Tern,White Tern,
Gygis microrhyncha,Little White Tern,,,,
Hydrocoloeus minutus,Little Gull,,,,
Hydroprogne caspia,Caspian Tern,,,,
Larosterna inca,Inca Tern,,,,
Larus argentatus,European Herring Gull,,,,
Larus armenicus,Armenian Gull,,,,
Larus atlanticus,Olrog's Gull,,,,
Larus atricilla,Laughing Gull,,,,
Larus audouinii,Audouin's Gull,,,,
Larus belcheri,Belcher's Gull,,,,
Larus brunnicephalus,Brown-headed Gull,,,,
Larus bulleri,Black-billed Gull,,,,
Larus cachinnans,Caspian Gull,,,,
Larus californicus,California Gull,,,,
Larus canus,Mew Gull,Common Gull,,,
Larus cirrocephalus,Grey-headed Gull,Grey-hooded Gull,,,
Larus crassirostris,Black-tailed Gull,,,,
Larus delawarensis,Ring-billed Gull,,,,
Larus dominicanus,Kelp Gull,Southern Black-backed Gull,,,
Larus fuliginosus,Lava Gull,,,,
Larus fuscus,Lesser Black-backed Gull,,,,
Larus genei,Slender-billed Gull,,,,
Larus glaucescens,Glaucous-winged Gull,,,,
Larus glaucoides,Iceland Gull,,,,
Larus hartlaubii,Hartlaub's Gull,,,,
Larus heermanni,Heermann's Gull,,,,
Larus hemprichii,Sooty Gull,Hemprich's Gull,,,
Larus hyperboreus,Glaucous Gull,,,,
Larus ichthyaetus,Pallas's Gull,Great Black-headed Gull,,,
Larus leucophthalmus,White-eyed Gull,,,,
Larus livens,Yellow-footed Gull,,,,
Larus maculipennis,Brown-hooded Gull,,,,
Larus marinus,Great Black-backed Gull,Greater Black-backed Gull,,,
Larus melanocephalus,Mediterranean Gull,,,,
Larus michahellis,Yellow-legged Gull,,,,
Larus modestus,Grey Gull,,,,
Larus novaehollandiae,Silver Gull,,,,
Larus occidentalis,Western Gull,,,,
Larus pacificus,Pacific Gull,,,,
Larus philadelphia,Bonaparte's Gull,,,,
Larus pipixcan,Franklin's Gull,,,,
Larus relictus,Relict Gull,,,,
Larus ridibundus,Black-headed Gull,Common Black-headed Gull,,,
Larus schistisagus,Slaty-backed Gull,,,,
Larus scopulinus,Red-billed Gull,,,,
Larus scoresbii,Dolphin Gull,,,,
Larus serranus,Andean Gull,,,,
Larus smithsonianus,Arctic Herring Gull,American Herring Gull,,,
Larus thayeri,Thayer's Gull,,,,
Onychoprion aleuticus,Aleutian Tern,,,,
Onychoprion anaethetus,Bridled Tern,,,,
Onychoprion fuscatus,Sooty Tern,,,,
Onychoprion lunatus,Grey-backed Tern,Spectacled Tern,,,
Pagophila eburnea,Ivory Gull,,,,
Phaetusa simplex,Large-billed Tern,,,,
Procelsterna albivitta,Grey Noddy,,,,
Procelsterna cerulea,Blue Noddy,,,,
Rhodostethia rosea,Ross's Gull,,,,
Rissa brevirostris,Red-legged Kittiwake,,,,
Rissa tridactyla,Black-legged Kittiwake,Kittiwake,,,
Rynchops albicollis,Indian Skimmer,,,,
Rynchops flavirostris,African Skimmer,,,,
Rynchops niger,Black Skimmer,,,,
Saundersilarus saundersi,Saunders's Gull,Chinese Black-headed Gull,,,
Sterna acuticauda,Black-bellied Tern,,,,
Sterna aurantia,River Tern,,,,
Sterna dougallii,Roseate Tern,,,,
Sterna forsteri,Forster's Tern,,,,
Sterna hirundinacea,South American Tern,,,,
Sterna hirundo,Common Tern,,,,
Sterna paradisaea,Arctic Tern,,,,
Sterna repressa,White-cheeked Tern,,,,
Sterna striata,White-fronted Tern,,,,
Sterna sumatrana,Black-naped Tern,,,,
Sterna trudeaui,Snowy-crowned Tern,Trudeau's Tern,,,
Sterna virgata,Kerguelen Tern,,,,
Sterna vittata,Antarctic Tern,,,,
Sternula albifrons,Little Tern,,,,
Sternula antillarum,Least Tern,,,,
Sternula balaenarum,Damara Tern,,,,
Sternula lorata,Peruvian Tern,,,,
Sternula nereis,Fairy Tern,,,,
Sternula saundersi,Saunders's Tern,Saunders' Little Tern,,,
Sternula superciliaris,Yellow-billed Tern,,,,
Thalasseus bengalensis,Lesser Crested Tern,,,,
Thalasseus bergii,Greater Crested Tern,Crested Tern,Swift Tern,,
Thalasseus bernsteini,Chinese Crested Tern,,,,
Thalasseus elegans,Elegant Tern,,,,
Thalasseus maximus,Royal Tern,,,,
Thalasseus sandvicensis acuflavida,Sandwich Tern,,,,
Thalasseus sandvicensis eurygnatha,Cayenne Tern,,,,
Xema sabini,Sabine's Gull,,,,
Fregetta grallaria,White-bellied Storm-petrel,,,,
Fregetta maoriana,New Zealand Storm-petrel ,,,,
Fregetta tropica,Black-bellied Storm-petrel,,,,
Garrodia nereis,Grey-backed Storm-petrel,,,,
Nesofregetta fuliginosa,Polynesian Storm-petrel,White-throated Storm Petrel,,,
Oceanites gracilis,White-vented Storm-petrel,Elliot's Storm-Petrel,,,
Oceanites gracilis galapagoensis,Galapagos White-vented Storm-petrel,Galapagos Elliot's Storm-Petrel,,,
Oceanites oceanicus,Wilson's Storm-petrel,,,,
Oceanites oceanicus chilensis,Fuegian Wilson's Storm-petrel,,,,
Oceanites oceanicus exasperatus,Signey South Orkney Wilson's Storm-petrel,,,,
Oceanites oceanicus oceanicus,Crozet Wilson's Storm-petrel,,,,
Oceanites pincoyae,Pincoya Storm-petrel,,,,
Pelagodroma marina,White-faced Storm-petrel,,,,
Pedionomus torquatus,Plains-wanderer,,,,
Pelecanus conspicillatus,Australian Pelican,,,,
Pelecanus crispus,Dalmatian Pelican,,,,
Pelecanus erythrorhynchos,American White Pelican,,,,
Pelecanus occidentalis,Brown Pelican,,,,
Pelecanus onocrotalus,Great White Pelican,White Pelican,,,
Pelecanus philippensis,Spot-billed Pelican,Grey Pelican,,,
Pelecanus rufescens,Pink-backed Pelican,,,,
Pelecanus thagus,Peruvian Pelican,,,,
Phaethon aethereus,Red-billed Tropicbird,,,,
Phaethon lepturus,White-tailed Tropicbird,,,,
Phaethon rubricauda,Red-tailed Tropicbird,,,,
Microcarbo africanus,Long-tailed Cormorant,,,,
Microcarbo coronatus,Crowned Cormorant,,,,
Microcarbo melanoleucos,Little Pied Cormorant,Little Shag,,,
Microcarbo niger,Little Cormorant,,,,
Microcarbo pygmaeus,Pygmy Cormorant,,,,
Phalacrocorax bransfieldensis,Antarctic shag,,,,
Phalacrocorax georgianus,South Georgia shag,,,,
Phalacrocorax aristotelis,European Shag,Shag,,,
Phalacrocorax atriceps,Imperial Shag,,,,
Phalacrocorax auritus,Double-crested Cormorant,,,,
Phalacrocorax bougainvilliorum,Guanay Cormorant,,,,
Phalacrocorax brasilianus,Neotropical Cormorant,,,,
Phalacrocorax campbelli,Campbell Shag,,,,
Phalacrocorax capensis,Cape Cormorant,,,,
Phalacrocorax capillatus,Japanese Cormorant,,,,
Phalacrocorax carbo,Great Cormorant,Black shag,Cormorant,White-breasted Cormorant,
Phalacrocorax carunculatus,New Zealand king shag,Rough-faced shag,,,
Phalacrocorax chalconotus,Stewart Island shag,Bronze shag,Stewart shag,,
Phalacrocorax colensoi,Auckland Island shag,Auckland Shag,,,
Phalacrocorax featherstoni,Pitt Island shag,Pitt Shag,,,
Phalacrocorax fuscescens,Black-faced Cormorant,,,,
Phalacrocorax fuscicollis,Indian Cormorant,,,,
Phalacrocorax gaimardi,Red-legged Cormorant,,,,
Phalacrocorax harrisi,Flightless Cormorant,Galapagos Cormorant,,,
Phalacrocorax magellanicus,Rock Shag,Magellan Cormorant,,,
Phalacrocorax neglectus,Bank Cormorant,,,,
Phalacrocorax nigrogularis,Socotra Cormorant,,,,
Phalacrocorax onslowi, Chatham Island Shag,Chatham shag,,,
Phalacrocorax pelagicus,Pelagic Cormorant,Resplendent cormorant,Baird's cormorant,Pelagic shag,Kenyon's Shag
Phalacrocorax penicillatus,Brandt's Cormorant,Townsend's Cormorant,Pencilled Cormorant,Brown Cormorant,Tufted Cormorant
Phalacrocorax perspicillatus,Spectacled Cormorant,,,,
Phalacrocorax punctatus,Spotted Shag,,,,
Phalacrocorax ranfurlyi, Bounty Island Shag,Bounty Shag,,,
Phalacrocorax sulcirostris,Little Black Cormorant,Little Black Shag,,,
Phalacrocorax urile,Red-faced Cormorant,,,,
Phalacrocorax varius,Great Pied Cormorant,Pied Cormorant,Australian Pied Cormorant,Pied Shag,
Phalacrocorax verrucosus,Kerguelen Shag,,,,
Pluvianellus socialis,Magellanic Plover,,,,
Pluvianus aegyptius,Egyptian Plover,Crocodile-bird,,,
Aphrodroma brevirostris,Kerguelen Petrel,,,,
Ardenna bulleri,Buller's Shearwater,,,,
Ardenna carneipes,Flesh-footed Shearwater,,,,
Ardenna creatopus,Pink-footed Shearwater,,,,
Ardenna gravis,Great Shearwater,Greater Shearwater,,,
Ardenna grisea,Sooty Shearwater,,,,
Ardenna pacifica,Wedge-tailed Shearwater,,,,
Ardenna tenuirostris,Short-tailed Shearwater,,,,
Bulweria bifax,Small St Helena Petrel,St. Helena Bulwer's Petrel,,,
Bulweria bulwerii,Bulwer's Petrel,,,,
Bulweria fallax,Jouanin's Petrel,,,,
Calonectris borealis,Cory's Shearwater,,,,
Calonectris diomedea,Scopoli's Shearwater,,,,
Calonectris edwardsii,Cape Verde Shearwater,,,,
Calonectris leucomelas,Streaked Shearwater,,,,
Daption capense,Cape Petrel,Pintado Petrel,Cape Pigeon,,
Fulmarus glacialis,Northern Fulmar,Fulmar,,,
Fulmarus glacialoides,Southern Fulmar,Antarctic Fulmar,,,
Halobaena caerulea,Blue Petrel,,,,
Macronectes giganteus,Southern Giant Petrel,Antarctic Giant-Petrel,,,
Macronectes halli,Northern Giant Petrel,Hall's Giant-Petrel,,,
Pachyptila belcheri,Slender-billed Prion,Slender-billed Prion,,,
Pachyptila crassirostris,Fulmar Prion,,,,
Pachyptila desolata,Antarctic Prion,Dove Prion,,,
Pachyptila salvini,Salvin's Prion,,,,
Pachyptila turtur,Fairy Prion,,,,
Pachyptila vittata,Broad-billed Prion,,,,
Pagodroma nivea,Snow Petrel,,,,
Pelecanoides garnotii,Peruvian Diving-petrel,,,,
Pelecanoides georgicus,South Georgia Diving-petrel,,,,
Pelecanoides magellani,Magellanic Diving-petrel,,,,
Pelecanoides urinatrix,Common Diving-petrel,,,,
Pelecanoides urinatrix exsul,Kerguelen Common Diving-petrel,,,,
Procellaria aequinoctialis,White-chinned Petrel,,,,
Procellaria cinerea,Grey Petrel,Pediunker,Grey Shearwater,,
Procellaria conspicillata,Spectacled Petrel,,,,
Procellaria parkinsoni,Black Petrel,Black (Parkinson's) Petrel,,,
Procellaria westlandica,Westland Petrel,Westland Black Petrel,,,
Pseudobulweria aterrima,Mascarene Petrel,Reunion Petrel,,,
Pseudobulweria becki,Beck's Petrel,,,,
Pseudobulweria macgillivrayi,Fiji Petrel,MacGillivray's Petrel,,,
Pseudobulweria rostrata,Tahiti Petrel,,,,
Pterdroma occulta,Vanuatu Petrel,,,,
Pterodroma alba,Phoenix Petrel,,,,
Pterodroma arminjoniana,Trindade Petrel,Herald Petrel,,,
Pterodroma atrata,Henderson Petrel,,,,
Pterodroma axillaris,Chatham Petrel,Chatham Islands Petrel,,,
Pterodroma baraui,Barau's Petrel,,,,
Pterodroma brevipes,Collared Petrel,,,,
Pterodroma cahow,Bermuda Petrel,Cahow,,,
Pterodroma caribbaea,Jamaican Petrel,,,,
Pterodroma cervicalis,White-necked Petrel,White-naped Petrel,,,
Pterodroma cookii,Cook's Petrel,,,,
Pterodroma defilippiana,Masatierra Petrel,Defilippi's Petrel,,,
Pterodroma deserta,Desertas Petrel,,,,
Pterodroma externa,Juan Fernandez Petrel,,,,
Pterodroma feae,Cape Verde Petrel,,,,
Pterodroma gouldi,Grey-faced Petrel,,,,
Pterodroma hasitata,Black-capped Petrel,,,,
Pterodroma heraldica,Herald Petrel,,,,
Pterodroma hypoleuca,Bonin Petrel,,,,
Pterodroma incerta,Atlantic Petrel,,,,
Pterodroma inexpectata,Mottled Petrel,,,,
Pterodroma lessonii,White-headed Petrel,,,,
Pterodroma leucoptera,White-winged Petrel,Collared Petrel,,,
Pterodroma longirostris,Stejneger's Petrel,,,,
Pterodroma macroptera,Great-winged Petrel,,,,
Pterodroma madeira,Zino's Petrel,Freira,Madeira Petrel,,
Pterodroma magentae,Magenta Petrel,Chatham Island Taiko,,,
Pterodroma mollis,Soft-plumaged Petrel,,,,
Pterodroma neglecta,Kermadec Petrel,,,,
Pterodroma nigripennis,Black-winged Petrel,,,,
Pterodroma phaeopygia,Galapagos Petrel,Dark-rumped Petrel,,,
Pterodroma pycrofti,Pycroft's Petrel,,,,
Pterodroma rupinarum,Large St Helena Petrel,St Helena Gadfly Petrel,,,
Pterodroma sandwichensis,Hawaiian Petrel,,,,
Pterodroma solandri,Providence Petrel,,,,
Pterodroma ultima,Murphy's Petrel,,,,
Puffinus assimilis,Little Shearwater,,,,
Puffinus auricularis,Townsend's Shearwater,,,,
